Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	geneSymbol
cluster_EN	GO:0030055	cell-substrate junction	69/712	423/19559	4.00754862970288e-26	1.78836077881605e-23	1.27753475112398e-23	FLT1/NEDD9/CD59/ITGA6/B2M/EFNB2/ARPC1B/CAV1/TEK/SHROOM4/LAP3/PDLIM1/HSPG2/GSN/FLNB/MCAM/MYH9/LIMA1/SDCBP/PLEC/PTPN12/ARHGAP26/SORBS2/MSN/ARHGAP31/PXN/ENG/CAPN2/LIMS1/AHNAK/ITGA1/RDX/DLC1/RRAS/YES1/SYNE2/NRP1/ACTN4/CAV2/ADAM10/DAB2/ACTR2/ERBIN/PTK2B/ANXA1/PEAK1/ACTN1/PHLDB2/ENAH/GNA13/VCL/TPM4/ICAM1/ITGA5/NECTIN2/FLNA/CD9/ARHGEF7/HSPB1/KRAS/MAP4K4/SNTB2/RHOB/PPFIA1/HSPA1A/RND3/PRKAR2A/PROCR/FBLIM1	69	FLT1/NEDD9/CD59/ITGA6/B2M/EFNB2/ARPC1B/CAV1/TEK/SHROOM4/LAP3/PDLIM1/HSPG2/GSN/FLNB/MCAM/MYH9/LIMA1/SDCBP/PLEC/PTPN12/ARHGAP26/SORBS2/MSN/ARHGAP31/PXN/ENG/CAPN2/LIMS1/AHNAK/ITGA1/RDX/DLC1/RRAS/YES1/SYNE2/NRP1/ACTN4/CAV2/ADAM10/DAB2/ACTR2/ERBIN/PTK2B/ANXA1/PEAK1/ACTN1/PHLDB2/ENAH/GNA13/VCL/TPM4/ICAM1/ITGA5/NECTIN2/FLNA/CD9/ARHGEF7/HSPB1/KRAS/MAP4K4/SNTB2/RHOB/PPFIA1/HSPA1A/RND3/PRKAR2A/PROCR/FBLIM1
cluster_EN	GO:0005925	focal adhesion	68/712	415/19559	7.13916478569283e-26	1.78836077881605e-23	1.27753475112398e-23	FLT1/NEDD9/CD59/ITGA6/B2M/EFNB2/ARPC1B/CAV1/TEK/SHROOM4/LAP3/PDLIM1/HSPG2/GSN/FLNB/MCAM/MYH9/LIMA1/SDCBP/PLEC/PTPN12/ARHGAP26/SORBS2/MSN/ARHGAP31/PXN/ENG/CAPN2/LIMS1/AHNAK/ITGA1/RDX/DLC1/RRAS/YES1/SYNE2/NRP1/ACTN4/CAV2/ADAM10/DAB2/ACTR2/PTK2B/ANXA1/PEAK1/ACTN1/PHLDB2/ENAH/GNA13/VCL/TPM4/ICAM1/ITGA5/NECTIN2/FLNA/CD9/ARHGEF7/HSPB1/KRAS/MAP4K4/SNTB2/RHOB/PPFIA1/HSPA1A/RND3/PRKAR2A/PROCR/FBLIM1	68	FLT1/NEDD9/CD59/ITGA6/B2M/EFNB2/ARPC1B/CAV1/TEK/SHROOM4/LAP3/PDLIM1/HSPG2/GSN/FLNB/MCAM/MYH9/LIMA1/SDCBP/PLEC/PTPN12/ARHGAP26/SORBS2/MSN/ARHGAP31/PXN/ENG/CAPN2/LIMS1/AHNAK/ITGA1/RDX/DLC1/RRAS/YES1/SYNE2/NRP1/ACTN4/CAV2/ADAM10/DAB2/ACTR2/PTK2B/ANXA1/PEAK1/ACTN1/PHLDB2/ENAH/GNA13/VCL/TPM4/ICAM1/ITGA5/NECTIN2/FLNA/CD9/ARHGEF7/HSPB1/KRAS/MAP4K4/SNTB2/RHOB/PPFIA1/HSPA1A/RND3/PRKAR2A/PROCR/FBLIM1
cluster_EN	GO:0005911	cell-cell junction	61/712	493/19559	4.72533111166959e-17	7.89130295648821e-15	5.637237115676e-15	PECAM1/CLDN5/PODXL/HEG1/RASIP1/EFNB2/TEK/SHROOM4/ADAM15/PDLIM1/JAG1/EPHA4/TIAM1/JAM2/TJP1/CLIC4/JCAD/F11R/MYH9/PTPRM/FZD4/APP/TMOD3/BMPR2/SDCBP/CDC42BPA/PXN/LIMS1/AHNAK/S100A11/CCND1/FRMD4A/CLDN15/ATP1A1/CYTH1/RAPGEF2/MYO1E/ACTN4/ADAM10/ANXA1/ACTN1/CD2AP/YWHAH/PDLIM5/DLL1/DDX58/TJP2/MAGI1/VCL/ITGA5/PKP4/PPP3CA/NECTIN2/SHROOM1/FLNA/CGNL1/APC/SMAD7/LSR/PLPP3/FRMD4B	61	PECAM1/CLDN5/PODXL/HEG1/RASIP1/EFNB2/TEK/SHROOM4/ADAM15/PDLIM1/JAG1/EPHA4/TIAM1/JAM2/TJP1/CLIC4/JCAD/F11R/MYH9/PTPRM/FZD4/APP/TMOD3/BMPR2/SDCBP/CDC42BPA/PXN/LIMS1/AHNAK/S100A11/CCND1/FRMD4A/CLDN15/ATP1A1/CYTH1/RAPGEF2/MYO1E/ACTN4/ADAM10/ANXA1/ACTN1/CD2AP/YWHAH/PDLIM5/DLL1/DDX58/TJP2/MAGI1/VCL/ITGA5/PKP4/PPP3CA/NECTIN2/SHROOM1/FLNA/CGNL1/APC/SMAD7/LSR/PLPP3/FRMD4B
cluster_EN	GO:0045121	membrane raft	47/712	329/19559	8.76704642963194e-16	8.24884907141696e-14	5.89265402727548e-14	PECAM1/CAVIN2/PODXL/HYAL2/TGFBR2/INPP5D/CAV1/STOM/TEK/CAVIN1/APP/S100A10/BMPR2/CD36/SDCBP/MYO1C/EFHD2/CFLAR/CAPN2/AHNAK/ITGA1/BAALC/MYOF/DLC1/F2R/ATP1A1/PLVAP/PLPP1/TNFRSF1B/CAV2/BIRC3/RFTN1/PTK2B/BCL10/TPP1/DLL1/ATP2B1/ICAM1/TDGF1/ABCG2/FYN/KRAS/PTGIS/PLPP3/INSR/SYNJ2/PRKAR2A	47	PECAM1/CAVIN2/PODXL/HYAL2/TGFBR2/INPP5D/CAV1/STOM/TEK/CAVIN1/APP/S100A10/BMPR2/CD36/SDCBP/MYO1C/EFHD2/CFLAR/CAPN2/AHNAK/ITGA1/BAALC/MYOF/DLC1/F2R/ATP1A1/PLVAP/PLPP1/TNFRSF1B/CAV2/BIRC3/RFTN1/PTK2B/BCL10/TPP1/DLL1/ATP2B1/ICAM1/TDGF1/ABCG2/FYN/KRAS/PTGIS/PLPP3/INSR/SYNJ2/PRKAR2A
cluster_EN	GO:0098589	membrane region	48/712	343/19559	9.79250242279262e-16	8.24884907141696e-14	5.89265402727548e-14	PECAM1/CAVIN2/PODXL/HYAL2/TGFBR2/INPP5D/CAV1/STOM/TEK/CAVIN1/APP/S100A10/BMPR2/CD36/SDCBP/MYO1C/EFHD2/CFLAR/CAPN2/AHNAK/ITGA1/BAALC/MYOF/DLC1/F2R/ATP1A1/PLVAP/PLPP1/TNFRSF1B/CAV2/BIRC3/RFTN1/PTK2B/BCL10/TPP1/DLL1/ATP2B1/ICAM1/TDGF1/ABCG2/FYN/KRAS/PTGIS/PLPP3/INSR/TRIP11/SYNJ2/PRKAR2A	48	PECAM1/CAVIN2/PODXL/HYAL2/TGFBR2/INPP5D/CAV1/STOM/TEK/CAVIN1/APP/S100A10/BMPR2/CD36/SDCBP/MYO1C/EFHD2/CFLAR/CAPN2/AHNAK/ITGA1/BAALC/MYOF/DLC1/F2R/ATP1A1/PLVAP/PLPP1/TNFRSF1B/CAV2/BIRC3/RFTN1/PTK2B/BCL10/TPP1/DLL1/ATP2B1/ICAM1/TDGF1/ABCG2/FYN/KRAS/PTGIS/PLPP3/INSR/TRIP11/SYNJ2/PRKAR2A
cluster_EN	GO:0098857	membrane microdomain	47/712	330/19559	9.8788611633736e-16	8.24884907141696e-14	5.89265402727548e-14	PECAM1/CAVIN2/PODXL/HYAL2/TGFBR2/INPP5D/CAV1/STOM/TEK/CAVIN1/APP/S100A10/BMPR2/CD36/SDCBP/MYO1C/EFHD2/CFLAR/CAPN2/AHNAK/ITGA1/BAALC/MYOF/DLC1/F2R/ATP1A1/PLVAP/PLPP1/TNFRSF1B/CAV2/BIRC3/RFTN1/PTK2B/BCL10/TPP1/DLL1/ATP2B1/ICAM1/TDGF1/ABCG2/FYN/KRAS/PTGIS/PLPP3/INSR/SYNJ2/PRKAR2A	47	PECAM1/CAVIN2/PODXL/HYAL2/TGFBR2/INPP5D/CAV1/STOM/TEK/CAVIN1/APP/S100A10/BMPR2/CD36/SDCBP/MYO1C/EFHD2/CFLAR/CAPN2/AHNAK/ITGA1/BAALC/MYOF/DLC1/F2R/ATP1A1/PLVAP/PLPP1/TNFRSF1B/CAV2/BIRC3/RFTN1/PTK2B/BCL10/TPP1/DLL1/ATP2B1/ICAM1/TDGF1/ABCG2/FYN/KRAS/PTGIS/PLPP3/INSR/SYNJ2/PRKAR2A
cluster_EN	GO:0031252	cell leading edge	53/712	421/19559	2.84491431961286e-15	2.03614582018006e-13	1.45454265965169e-13	PODXL/NEDD9/LDB2/SPTBN1/SWAP70/TIAM1/GSN/RIPOR2/MYO6/CTTNBP2NL/JCAD/MYH9/PTPRM/APP/RAPH1/LIMA1/PLXND1/CDC42BPA/SORBS2/KITLG/MYO1C/ARHGAP31/PXN/S100A11/RDX/MTSS1/SSH1/DLC1/RAPGEF3/BMX/SYNE2/CDK6/CLIP1/ACTR2/PTK2B/ARHGAP18/PHACTR4/ACTN1/CD2AP/DPYSL3/PHLDB2/TESC/DDX58/ENAH/ATP2B1/ITGA5/AAK1/ROCK1/S100A6/ARHGEF7/APC/FRMD4B/INSR	53	PODXL/NEDD9/LDB2/SPTBN1/SWAP70/TIAM1/GSN/RIPOR2/MYO6/CTTNBP2NL/JCAD/MYH9/PTPRM/APP/RAPH1/LIMA1/PLXND1/CDC42BPA/SORBS2/KITLG/MYO1C/ARHGAP31/PXN/S100A11/RDX/MTSS1/SSH1/DLC1/RAPGEF3/BMX/SYNE2/CDK6/CLIP1/ACTR2/PTK2B/ARHGAP18/PHACTR4/ACTN1/CD2AP/DPYSL3/PHLDB2/TESC/DDX58/ENAH/ATP2B1/ITGA5/AAK1/ROCK1/S100A6/ARHGEF7/APC/FRMD4B/INSR
cluster_EN	GO:0005912	adherens junction	31/712	166/19559	5.13697798568654e-14	3.2170324635362e-12	2.29812173043872e-12	EFNB2/SHROOM4/ADAM15/PDLIM1/JAG1/EPHA4/TJP1/JCAD/MYH9/PTPRM/TMOD3/BMPR2/SDCBP/S100A11/FRMD4A/CYTH1/MYO1E/ADAM10/ANXA1/PDLIM5/DLL1/TJP2/MAGI1/VCL/PKP4/NECTIN2/SHROOM1/APC/SMAD7/PLPP3/FRMD4B	31	EFNB2/SHROOM4/ADAM15/PDLIM1/JAG1/EPHA4/TJP1/JCAD/MYH9/PTPRM/TMOD3/BMPR2/SDCBP/S100A11/FRMD4A/CYTH1/MYO1E/ADAM10/ANXA1/PDLIM5/DLL1/TJP2/MAGI1/VCL/PKP4/NECTIN2/SHROOM1/APC/SMAD7/PLPP3/FRMD4B
cluster_EN	GO:0045177	apical part of cell	49/712	433/19559	1.90387295923569e-12	1.05982261397453e-10	7.57095679696063e-11	PODXL/HYAL2/CD34/ADGRF5/ATP8B1/TEK/SHROOM4/JAG1/SLC39A14/RIPOR2/TJP1/MYO6/CLIC4/ABCC4/APP/BMPR2/CD36/SORBS2/MSN/PDE4D/RDX/FAT4/FN1/ATP1A1/HOMER2/RAPGEF2/CNKSR3/PLPP1/VCAM1/SLC7A1/ANXA1/SLC12A2/LDLR/ABCB1/NIN/DLL1/RAB27A/SLC39A8/ATP2B1/FZD6/TDGF1/ABCG2/SHROOM1/OSMR/CD9/IGFBP2/PLAT/SLC26A2/MYO1B	49	PODXL/HYAL2/CD34/ADGRF5/ATP8B1/TEK/SHROOM4/JAG1/SLC39A14/RIPOR2/TJP1/MYO6/CLIC4/ABCC4/APP/BMPR2/CD36/SORBS2/MSN/PDE4D/RDX/FAT4/FN1/ATP1A1/HOMER2/RAPGEF2/CNKSR3/PLPP1/VCAM1/SLC7A1/ANXA1/SLC12A2/LDLR/ABCB1/NIN/DLL1/RAB27A/SLC39A8/ATP2B1/FZD6/TDGF1/ABCG2/SHROOM1/OSMR/CD9/IGFBP2/PLAT/SLC26A2/MYO1B
cluster_EN	GO:0042611	MHC protein complex	12/712	25/19559	1.66348004678774e-11	8.33403503440659e-10	5.95350753587192e-10	HLA-E/HLA-B/CD74/B2M/HLA-C/HLA-A/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-F/HLA-DRB1	12	HLA-E/HLA-B/CD74/B2M/HLA-C/HLA-A/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-F/HLA-DRB1
