Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	geneSymbol
cluster_EN	R-HSA-913531	Interferon Signaling	39/481	199/10704	3.35795974107808e-15	3.83479002431116e-12	3.16355154554198e-12	IFI27/HLA-E/HLA-B/B2M/HLA-C/HLA-A/HLA-DRB5/HLA-DRA/HLA-DPB1/FLNB/HLA-DPA1/IFNGR1/IFITM3/XAF1/ISG15/IFI6/HLA-F/GBP4/GBP3/HLA-DRB1/TRIM38/TRIM2/MX1/IFITM2/VCAM1/GBP1/EIF4G3/IFNAR2/UBC/SOCS3/PSMB8/MT2A/DDX58/STAT1/ICAM1/FLNA/RSAD2/IFIT3/IFIT2	39	IFI27/HLA-E/HLA-B/B2M/HLA-C/HLA-A/HLA-DRB5/HLA-DRA/HLA-DPB1/FLNB/HLA-DPA1/IFNGR1/IFITM3/XAF1/ISG15/IFI6/HLA-F/GBP4/GBP3/HLA-DRB1/TRIM38/TRIM2/MX1/IFITM2/VCAM1/GBP1/EIF4G3/IFNAR2/UBC/SOCS3/PSMB8/MT2A/DDX58/STAT1/ICAM1/FLNA/RSAD2/IFIT3/IFIT2
cluster_EN	R-HSA-877300	Interferon gamma signaling	22/481	91/10704	5.54595540326422e-11	3.16674053526387e-08	2.6124368873271e-08	HLA-E/HLA-B/B2M/HLA-C/HLA-A/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DPA1/IFNGR1/HLA-F/GBP4/GBP3/HLA-DRB1/TRIM38/TRIM2/VCAM1/GBP1/SOCS3/MT2A/STAT1/ICAM1	22	HLA-E/HLA-B/B2M/HLA-C/HLA-A/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DPA1/IFNGR1/HLA-F/GBP4/GBP3/HLA-DRB1/TRIM38/TRIM2/VCAM1/GBP1/SOCS3/MT2A/STAT1/ICAM1
cluster_EN	R-HSA-909733	Interferon alpha/beta signaling	19/481	70/10704	1.33100088498077e-10	5.06667670216014e-08	4.17980979669401e-08	IFI27/HLA-E/HLA-B/HLA-C/HLA-A/IFITM3/XAF1/ISG15/IFI6/HLA-F/MX1/IFITM2/IFNAR2/SOCS3/PSMB8/STAT1/RSAD2/IFIT3/IFIT2	19	IFI27/HLA-E/HLA-B/HLA-C/HLA-A/IFITM3/XAF1/ISG15/IFI6/HLA-F/MX1/IFITM2/IFNAR2/SOCS3/PSMB8/STAT1/RSAD2/IFIT3/IFIT2
cluster_EN	R-HSA-76002	Platelet activation, signaling and aggregation	37/481	263/10704	5.1784327765795e-10	1.47844255771345e-07	1.21965719343122e-07	PECAM1/A2M/SRGN/TIMP3/PIK3R3/GNG11/PRKCH/VEGFC/TMSB4X/TAGLN2/F8/CALM1/ABCC4/APP/CD36/ABHD6/ITPR2/FN1/ENDOD1/SOS1/PHACTR2/F2R/RAPGEF3/DGKH/ACTN4/ACTN1/TUBA4A/GNA13/VCL/SPARC/DGKE/FYN/FLNA/APOA1/CD9/RHOB/CLU	37	PECAM1/A2M/SRGN/TIMP3/PIK3R3/GNG11/PRKCH/VEGFC/TMSB4X/TAGLN2/F8/CALM1/ABCC4/APP/CD36/ABHD6/ITPR2/FN1/ENDOD1/SOS1/PHACTR2/F2R/RAPGEF3/DGKH/ACTN4/ACTN1/TUBA4A/GNA13/VCL/SPARC/DGKE/FYN/FLNA/APOA1/CD9/RHOB/CLU
cluster_EN	R-HSA-114608	Platelet degranulation 	24/481	129/10704	2.37818570226297e-09	5.43177614396862e-07	4.4810025337376e-07	PECAM1/A2M/SRGN/TIMP3/VEGFC/TMSB4X/TAGLN2/F8/CALM1/ABCC4/APP/CD36/FN1/ENDOD1/PHACTR2/ACTN4/ACTN1/TUBA4A/VCL/SPARC/FLNA/APOA1/CD9/CLU	24	PECAM1/A2M/SRGN/TIMP3/VEGFC/TMSB4X/TAGLN2/F8/CALM1/ABCC4/APP/CD36/FN1/ENDOD1/PHACTR2/ACTN4/ACTN1/TUBA4A/VCL/SPARC/FLNA/APOA1/CD9/CLU
cluster_EN	R-HSA-76005	Response to elevated platelet cytosolic Ca2+	24/481	134/10704	5.25903720092807e-09	1.00097008057664e-06	8.25761104356249e-07	PECAM1/A2M/SRGN/TIMP3/VEGFC/TMSB4X/TAGLN2/F8/CALM1/ABCC4/APP/CD36/FN1/ENDOD1/PHACTR2/ACTN4/ACTN1/TUBA4A/VCL/SPARC/FLNA/APOA1/CD9/CLU	24	PECAM1/A2M/SRGN/TIMP3/VEGFC/TMSB4X/TAGLN2/F8/CALM1/ABCC4/APP/CD36/FN1/ENDOD1/PHACTR2/ACTN4/ACTN1/TUBA4A/VCL/SPARC/FLNA/APOA1/CD9/CLU
cluster_EN	R-HSA-1236977	Endosomal/Vacuolar pathway	7/481	11/10704	9.99713831493329e-08	1.55514956280641e-05	1.28293746770369e-05	HLA-E/HLA-B/B2M/HLA-C/HLA-A/CTSS/HLA-F	7	HLA-E/HLA-B/B2M/HLA-C/HLA-A/CTSS/HLA-F
cluster_EN	R-HSA-2682334	EPH-Ephrin signaling	18/481	92/10704	1.0894217602847e-07	1.55514956280641e-05	1.28293746770369e-05	EFNB2/ARPC1B/EPHA4/TIAM1/MYH9/MYL12A/SDCBP/EFNA1/EPHB4/ROCK2/YES1/KALRN/ADAM10/ACTR2/MYL6/FYN/ROCK1/ARHGEF7	18	EFNB2/ARPC1B/EPHA4/TIAM1/MYH9/MYL12A/SDCBP/EFNA1/EPHB4/ROCK2/YES1/KALRN/ADAM10/ACTR2/MYL6/FYN/ROCK1/ARHGEF7
cluster_EN	R-HSA-449147	Signaling by Interleukins	45/481	461/10704	6.72956369123079e-07	8.53906859487285e-05	7.04439708029422e-05	PIK3R3/INPP5D/SOCS2/LIFR/DUSP6/PTPN14/APP/ZEB1/CD36/PTPN12/PELI1/MSN/CCND1/RPS6KA3/FN1/SOS1/IRAK3/LAMA5/IL1R1/MAP3K8/YES1/CXCL2/VCAM1/TNFRSF1B/PTK2B/BCL2L1/UBC/CSF1/ANXA1/IL6ST/SOCS3/PSMB8/MEF2C/STAT1/HIF1A/ICAM1/FYN/NFKBIA/OSMR/FGF2/LGALS9/PSMB9/FOS/SOD2/IL6	45	PIK3R3/INPP5D/SOCS2/LIFR/DUSP6/PTPN14/APP/ZEB1/CD36/PTPN12/PELI1/MSN/CCND1/RPS6KA3/FN1/SOS1/IRAK3/LAMA5/IL1R1/MAP3K8/YES1/CXCL2/VCAM1/TNFRSF1B/PTK2B/BCL2L1/UBC/CSF1/ANXA1/IL6ST/SOCS3/PSMB8/MEF2C/STAT1/HIF1A/ICAM1/FYN/NFKBIA/OSMR/FGF2/LGALS9/PSMB9/FOS/SOD2/IL6
cluster_EN	R-HSA-373755	Semaphorin interactions	14/481	65/10704	8.37922239444842e-07	9.56907197446009e-05	7.89410951898035e-05	MYH9/MYL12A/PLXND1/ITGA1/RRAS/ROCK2/NRP1/DPYSL3/MYL6/FYN/ROCK1/ARHGEF12/RHOB/SEMA6A	14	MYH9/MYL12A/PLXND1/ITGA1/RRAS/ROCK2/NRP1/DPYSL3/MYL6/FYN/ROCK1/ARHGEF12/RHOB/SEMA6A
