"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051402","neuron apoptotic process","10/87","307/18986",0.0325732899022801,7.10846531131828,7.32099319514762,1.40642473926524e-06,0.00317430063652165,0.00242497233991207,"GBE1/PRKN/MAP3K5/FOXO3/SOD2/NR3C1/USP53/THRB/CLU/CHL1",10
"GO:1901654","response to ketone","8/87","224/18986",0.0357142857142857,7.79392446633826,6.93985940329798,8.69416665640949e-06,0.00673306185145709,0.00514364914427009,"TXNIP/ERRFI1/TGFBR3/FOXO3/NR3C1/SH3RF1/AHR/EFNA5",8
"GO:1901201","regulation of extracellular matrix assembly","4/87","29/18986",0.137931034482759,30.1006738010305,10.6405175720401,8.94957268691682e-06,0.00673306185145709,0.00514364914427009,"PPARG/RGCC/TGFBR3/PHLDB2",4
"GO:0010661","positive regulation of muscle cell apoptotic process","4/87","37/18986",0.108108108108108,23.5924200062131,9.33288644916912,2.42003602228742e-05,0.00781370547414365,0.00596919505008851,"PPARG/FOXO1/MAP3K5/SOD2",4
"GO:0034391","regulation of smooth muscle cell apoptotic process","4/87","38/18986",0.105263157894737,22.9715668481549,9.19849239188619,2.69531747409114e-05,0.00781370547414365,0.00596919505008851,"PPARG/FOXO1/SOD2/IGF1",4
"GO:0071404","cellular response to low-density lipoprotein particle stimulus","4/87","38/18986",0.105263157894737,22.9715668481549,9.19849239188619,2.69531747409114e-05,0.00781370547414365,0.00596919505008851,"PPARG/TXNIP/LDLR/ABCA1",4
"GO:0034390","smooth muscle cell apoptotic process","4/87","39/18986",0.102564102564103,22.3825523135868,9.06916145844551,2.99288527522285e-05,0.00781370547414365,0.00596919505008851,"PPARG/FOXO1/SOD2/IGF1",4
"GO:0055094","response to lipoprotein particle","4/87","39/18986",0.102564102564103,22.3825523135868,9.06916145844551,2.99288527522285e-05,0.00781370547414365,0.00596919505008851,"PPARG/TXNIP/LDLR/ABCA1",4
"GO:1905907","negative regulation of amyloid fibril formation","3/87","14/18986",0.214285714285714,46.7635467980296,11.621780012554,3.26166756407717e-05,0.00781370547414365,0.00596919505008851,"LDLR/CLU/HSPG2",3
"GO:0032868","response to insulin","8/87","276/18986",0.0289855072463768,6.32550391470931,6.04677585265602,3.90221279642432e-05,0.00781370547414365,0.00596919505008851,"PPARG/SORBS1/PDE3B/ERRFI1/FOXO1/GAB1/TBC1D4/SIK2",8
"GO:0048041","focal adhesion assembly","5/87","85/18986",0.0588235294117647,12.8370520622042,7.42089256318743,4.42327748897901e-05,0.00781370547414365,0.00596919505008851,"SORBS1/LIMCH1/PHLDB2/VCL/EFNA5",5
"GO:0150076","neuroinflammatory response","5/87","86/18986",0.0581395348837209,12.6877840149693,7.37048413152218,4.67949590410558e-05,0.00781370547414365,0.00596919505008851,"LARGE1/LDLR/NR3C1/CLU/IGF1",5
